Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional,
201,Michael Papierski,26.084,May 21,,/23H,SFG,-0.6,6-3,224,B,R,Feb 26 1996,Palos Heights IL US,Drafted by the Houston Astros in the 9th round of the 2017 amateur draft. Player signed July 5 2017.,Louisiana State University (Baton Rouge LA),Lemont HS (Lemont IL),Michael John,papiemi01,
202,Vinnie Pasquantino,24.261,Jun 28,,3D,KCR,1.5,6-4,245,L,L,Oct 10 1997,Richmond VA US,Drafted by the Kansas City Royals in the 11th round of the 2019 amateur draft. Player signed June 9 2019.,Old Dominion University (Norfolk VA),,Vincent Joseph,pasquvi01,
203,Liover Peguero,21.169,Jun 18,,/6,PIT,0.2,6-2,200,R,R,Dec 31 2000,Higuey La Altagracia DO,Signed as a Free Agent with the Arizona Diamondbacks in 2017.,,,Liover,pegueli01,
204,Jeremy Pena,24.197,Apr 7,,*6/H,HOU,4.8,6-0,202,R,R,Sep 22 1997,Santo Domingo Distrito Nacional DO,Drafted by the Houston Astros in the 3rd round of the 2018 amateur draft. Player signed June 13 2018.,University of Maine (Orono ME),Classical HS (Providence RI),Jeremy Joan,penaje02,
205,Ryan Pepiot,24.263,May 11,,/1,LAD,0.4,6-3,215,R,R,Aug 21 1997,Indianapolis IN US,Drafted by the Los Angeles Dodgers in the 3rd round of the 2019 amateur draft. Player signed June 11 2019.,Butler University (Indianapolis IN),,Ryan Michael,pepiory01,
206,Oswald Peraza,22.079,Sep 2,,6/4H,NYY,0.6,6-0,200,R,R,Jun 15 2000,Barquisimeto Lara VE,Signed as a Free Agent with the New York Yankees in 2016.,,,Oswald Dair,perazos02,
207,Carlos Perez,25.350,Aug 26,,/2H,CHW,-0.2,5-11,205,R,R,Sep 10 1996,Valencia Carabobo VE,Signed as a Free Agent with the Chicago White Sox in 2014.,,,Carlos Jesus,perezca03,
208,Joe Perez,22.239,Apr 8,,/5H,HOU,0.0,6-2,198,R,R,Aug 12 1999,Pembroke Pines FL US,Drafted by the Houston Astros in the 2nd round of the 2017 amateur draft. Player signed June 27 2017.,,Archbishop McCarthy HS (Southwest Ranches FL),Joseph,perezjo02,
209,Konnor Pilkington,24.215,Apr 15,,1,CLE,-0.1,6-3,240,L,L,Sep 12 1997,Pascagoula MS US,Drafted by the Chicago White Sox in the 3rd round of the 2018 amateur draft. Player signed June 27 2018.,Mississippi State University (Mississippi State MS),East Central HS (Moss Point MS),Konnor Chase,pilkiko01,
210,Israel Pineda,22.161,Sep 11,,/2,WSN,-0.2,5-11,188,R,R,Apr 3 2000,Maracay Aragua VE,Signed as a Free Agent with the Washington Nationals in 2016.,,,Israel Abrahan,pinedis01,
211,Rene Pinto,25.175,Apr 26,,2,TBR,-0.2,5-10,195,R,R,Nov 2 1996,Maracay Aragua VE,Signed as a Free Agent with the Tampa Bay Rays in 2013.,,,Rene Rafael,pintore02,
212,Michael Plassmeyer,25.291,Aug 23,,/1,PHI,0.2,6-2,197,L,L,Nov 5 1996,St. Louis MO US,Drafted by the Seattle Mariners in the 4th round of the 2018 amateur draft. Player signed June 10 2018.,University of Missouri (Columbia MO),De Smet Jesuit HS (Creve Coeur MO),Michael Gene,plassmi01,
213,Nick Plummer,25.258,Apr 15,,/D97H,NYM,-0.1,5-10,200,L,L,Jul 31 1996,Lathrup Village MI US,Drafted by the St. Louis Cardinals in the 1st round (23rd pick) of the 2015 amateur draft. Player signed June 15 2015.,,Brother Rice HS (Bloomfield Hills MI),Nicholas Raymond,plummni01,
214,Nick Pratto,23.281,Jul 14,,3/7H9,KCR,-0.1,6-1,215,L,L,Oct 6 1998,Huntington Beach CA US,Drafted by the Kansas City Royals in the 1st round (14th pick) of the 2017 amateur draft. Player signed June 19 2017.,,Huntington Beach HS (Huntington Beach CA),Nicholas Michael,prattni01,
215,Ford Proctor,25.294,Sep 24,,/42H,SFG,-0.1,6-1,195,L,R,Dec 4 1996,Beaumont TX US,Drafted by the Tampa Bay Rays in the 3rd round of the 2018 amateur draft. Player signed June 11 2018.,Rice University (Houston TX),Monsignor Kelly Catholic HS (Beaumont TX),Jay Clifford,proctfo01,
216,Esteban Quiroz,30.212,Sep 17,,4/H,CHC,0.4,5-6,199,L,R,Feb 17 1992,Ciudad Obregon Sonora MX,Signed as a Free Agent with the Boston Red Sox in 2017.,,,Jesus Esteban,quiroes01,
217,Cole Ragans,24.235,Aug 4,,/1,TEX,-0.1,6-4,190,L,L,Dec 12 1997,Crawfordville FL US,Drafted by the Texas Rangers in the 1st round (30th pick) of the 2016 amateur draft. Player signed June 14 2016.,,North Florida Christian HS (Tallahassee FL),Cole Gatlin,raganco01,
218,Heliot Ramos,22.215,Apr 10,,/97H,SFG,-0.5,6-1,188,R,R,Sep 7 1999,Humacao PR,Drafted by the San Francisco Giants in the 1st round (19th pick) of the 2017 amateur draft. Player signed June 20 2017.,,Leadership Christian Academy (Guaynabo Puerto Rico),Heliot Lemuel,ramoshe02,
219,Denyi Reyes,25.192,May 13,,/1,BAL,0.2,6-4,255,R,R,Nov 2 1996,San Cristobal San Cristobal DO,Signed as a Free Agent with the Boston Red Sox in 2014.,,,Denyi,reyesde02,
220,Ethan Roberts,24.279,Apr 9,,/1,CHC,-0.3,5-10,180,R,R,Jul 4 1997,Sparta TN US,Drafted by the Chicago Cubs in the 4th round of the 2018 amateur draft. Player signed June 21 2018.,Tennessee Technological University (Cookeville TN),White County HS (Sparta TN),Ethan Michael,roberet01,
221,Kramer Robertson,27.232,May 10,,/HD6,STL,-0.1,5-10,166,R,R,Sep 20 1994,Waco TX US,Drafted by the St. Louis Cardinals in the 4th round of the 2017 amateur draft. Player signed June 28 2017.,Louisiana State University (Baton Rouge LA),,Kramer Reid,roberkr01,
222,Chuckie Robinson,27.253,Aug 24,,2,CIN,-0.5,5-11,221,R,R,Dec 14 1994,Danville IL US,Drafted by the Houston Astros in the 21st round of the 2016 amateur draft. Player signed June 14 2016.,University of Southern Mississippi (Hattiesburg MS),Danville HS (Danville IL),Charles,robinch04,
223,Elvin Rodriguez,24.010,Apr 10,,/1,DET,-1.5,6-3,160,R,R,Mar 31 1998,San Cristobal San Cristobal DO,Signed as a Free Agent with the Los Angeles Angels of Anaheim in 2014.,,,Elvin Miguel,rodriel02,
224,Julio Rodriguez,21.100,Apr 8,,*8/DH,SEA,6.2,6-3,228,R,R,Dec 29 2000,Loma de Cabrera Dajabon DO,Signed as a Free Agent with the Seattle Mariners in 2017.,,,Julio Yarnel,rodriju01,
225,Yerry Rodriguez,24.355,Oct 5,,/1,TEX,0.1,6-2,198,R,R,Oct 15 1997,Santiago Santiago DO,Signed as a Free Agent with the Texas Rangers in 2015.,,,Yerry Manuel,rodriye01,
226,Tommy Romero,24.278,Apr 12,,/1,TBR,-0.5,6-2,225,R,R,Jul 8 1997,Fort Lauderdale FL US,Drafted by the Seattle Mariners in the 15th round of the 2017 amateur draft. Player signed June 20 2017.,Eastern Florida State College (Cocoa FL),,Thomas John,romerto01,
227,Eguy Rosario,23.001,Aug 26,,/H56D,SDP,0.1,5-9,150,R,R,Aug 25 1999,Juan Baron San Cristobal DO,Signed as a Free Agent with the San Diego Padres in 2015.,,,Eguy,rosareg01,
228,Kenny Rosenberg,26.283,Apr 18,,/1,LAA,0.1,6-1,195,L,L,Jul 9 1995,Mill Valley CA US,Drafted by the Tampa Bay Rays in the 8th round of the 2016 amateur draft. Player signed June 21 2016.,California State University Northridge (Los Angeles CA),Tamalpais HS (Mill Valley CA),Kenneth Walter,rosenke01,
229,Bubby Rossman,30.014,Jul 13,,/1,PHI,-0.1,6-5,220,B,R,Jun 29 1992,La Habra CA US,Drafted by the Los Angeles Dodgers in the 22nd round of the 2014 amateur draft. Player signed June 11 2014.,California State University Dominguez Hills (Carson CA),,Charles Irvin,rossmbu01,
230,Esteury Ruiz,23.147,Jul 12,,/987H,SDP,-0.5,6-0,169,R,R,Feb 15 1999,Azua Azua DO,Signed as a Free Agent with the Kansas City Royals in 2015.,,,Esteury,ruizes01,
231,Norge Ruíz,28.157,Aug 19,,1,OAK,-0.4,5-10,180,R,R,Mar 15 1994,La Habana La Habana CU,Signed as a Free Agent with the Oakland Athletics in 2016.,,,Norge Luis,ruizno01,
232,Adley Rutschman,24.104,May 21,,2D/H,BAL,5.2,6-2,220,B,R,Feb 6 1998,Portland OR US,Drafted by the Baltimore Orioles in the 1st round (1st pick) of the 2019 amateur draft. Player signed June 24 2019.,Oregon State University (Corvallis OR),Sherwood HS (Sherwood OR),Adley Stan,rutscad01,
233,Phoenix Sanders,26.313,Apr 14,,/1,TBR,0.2,5-10,205,R,R,Jun 5 1995,Augsburg Bavaria DE,Drafted by the Tampa Bay Rays in the 10th round of the 2017 amateur draft. Player signed June 15 2017.,Daytona State College (Daytona Beach FL) University of South Florida (Tampa FL),,Phoenix Clark,sandeph01,
234,Cole Sands,24.288,May 1,,1,MIN,-0.4,6-3,215,R,R,Jul 17 1997,Tallahassee FL US,Drafted by the Minnesota Twins in the 5th round of the 2018 amateur draft. Player signed July 5 2018.,Florida State University (Tallahassee FL),North Florida Christian HS (Tallahassee FL),Bryson Cole,sandsco01,
235,Donny Sands,26.109,Sep 2,,/H2D,PHI,-0.1,6-2,190,R,R,May 16 1996,Tucson AZ US,Drafted by the New York Yankees in the 8th round of the 2015 amateur draft. Player signed June 12 2015.,,Salpointe HS (Tucson AZ),Donny,sandsdo01,
236,JP Sears,26.053,Apr 13,,/1,NYY,0.8,5-11,180,R,L,Feb 19 1996,Sumter SC US,Drafted by the Seattle Mariners in the 11th round of the 2017 amateur draft. Player signed June 17 2017.,The Citadel (Charleston SC),,John Patrick,searsjp01,
237,Cody Sedlock,26.344,May 29,,/1,BAL,-0.1,6-4,220,R,R,Jun 19 1995,Sherrard IL US,Drafted by the Baltimore Orioles in the 1st round (27th pick) of the 2016 amateur draft. Player signed June 17 2016.,University of Illinois at Urbana-Champaign (Champaign IL),Alleman Catholic HS (Rock Island IL),Cody Austin,sedloco01,
238,Brian Serven,27.013,May 18,,2/H3D1,COL,0.0,6-0,207,R,R,May 5 1995,Palm Desert CA US,Drafted by the Colorado Rockies in the 5th round of the 2016 amateur draft. Player signed June 15 2016.,Arizona State University (Tempe AZ),Palm Desert HS (Palm Desert CA),Brian Nicholas,servebr01,
239,Anderson Severino,27.209,Apr 14,,/1,CHW,0.0,5-10,190,L,L,Sep 17 1994,Santo Domingo Distrito Nacional DO,Signed as a Free Agent with the New York Yankees in 2013.,,,Anderson,severan01,
240,Michael Siani,23.068,Sep 22,,/8H,CIN,-0.4,6-1,188,L,L,Jul 16 1999,Glenside PA US,Drafted by the Cincinnati Reds in the 4th round of the 2018 amateur draft. Player signed July 3 2018.,,William Penn Charter School (Philadelphia PA),Michael,sianimi01,
241,Chase Silseth,21.360,May 13,,/1,LAA,-0.5,6-0,217,R,R,May 18 2000,Farmington NM US,Drafted by the Los Angeles Angels in the 11th round of the 2021 amateur draft. Player signed July 31 2021.,College of Southern Nevada (Henderson NV) University of Arizona (Tucson AZ) University of Tennessee (Knoxville TN),Piedra Vista HS (Farmington NM),Chase Robert,silsech01,
242,Ethan Small,25.105,May 30,,/1,MIL,-0.2,6-4,215,L,L,Feb 14 1997,Jackson TN US,Drafted by the Milwaukee Brewers in the 1st round (28th pick) of the 2019 amateur draft. Player signed June 25 2019.,Mississippi State University (Mississippi State MS),Lexington HS (Lexington TN),Ethan Robert,smallet01,
243,Chad Smith,26.355,May 29,,1,COL,-0.3,6-4,200,R,R,Jun 8 1995,McCalla AL US,Drafted by the Miami Marlins in the 11th round of the 2016 amateur draft. Player signed June 12 2016.,University of Mississippi (Oxford MS) Wallace State Community College (Hanceville AL),,Rodney Chad,smithch12,
244,Josh Smith,24.296,May 30,,57H/D64,TEX,0.3,5-10,172,L,R,Aug 7 1997,Baton Rouge LA US,Drafted by the New York Yankees in the 2nd round of the 2019 amateur draft. Player signed July 12 2019.,Louisiana State University (Baton Rouge LA),Catholic HS (Baton Rouge LA),Josh Harris,smithjo11,
245,Canaan Smith-Njigba,23.045,Jun 14,,/7H,PIT,-0.1,6-0,230,L,R,Apr 30 1999,Dallas TX US,Drafted by the New York Yankees in the 4th round of the 2017 amateur draft. Player signed June 17 2017.,,Rockwall-Heath HS (Heath TX),Canaan Elijah,smithca05,
246,Collin Snider,26.181,Apr 9,,1,KCR,-0.5,6-4,195,R,R,Oct 10 1995,Nashville TN US,Drafted by the Kansas City Royals in the 12th round of the 2017 amateur draft. Player signed June 17 2017.,Vanderbilt University (Nashville TN),,Collin Kenneth,snideco01,
247,Jared Solomon,24.331,May 7,,/1,CIN,-0.3,6-2,200,R,R,Jun 10 1997,Millville PA US,Drafted by the Cincinnati Reds in the 11th round of the 2017 amateur draft. Player signed June 18 2017.,Alderson Broaddus University (Phillippi WV) Lackawanna College (Scranton PA) Xavier University (Cincinnati OH),,Jared R.,solomja01,
248,Lenyn Sosa,22.149,Jun 23,,/46DH,CHW,-0.5,6-0,180,R,R,Jan 25 2000,Puerto Ordaz Bolivar VE,Signed as a Free Agent with the Chicago White Sox in 2016.,,,Lenyn Jose,sosale01,
249,Livan Soto,22.087,Sep 17,,6/5H,LAA,0.7,6-0,160,L,R,Jun 22 2000,Valencia Carabobo VE,Signed as a Free Agent with the Atlanta Braves in 2016.,,,Livan Enrique,sotoli01,
250,Bennett Sousa,27.002,Apr 8,,1,CHW,-1.0,6-3,220,L,L,Apr 6 1995,North Palm Beach FL US,Drafted by the Chicago White Sox in the 10th round of the 2018 amateur draft. Player signed June 8 2018.,University of Virginia (Charlottesville VA),The Benjamin School (Palm Beach Gardens FL),John Bennett,sousabe01,
251,Spencer Steer,24.269,Sep 2,,5/34DH,CIN,0.0,5-11,185,R,R,Dec 7 1997,Long Beach CA US,Drafted by the Minnesota Twins in the 3rd round of the 2019 amateur draft. Player signed June 19 2019.,University of Oregon (Eugene OR),Millikan HS (Long Beach CA),Spencer Gordon,steersp01,
252,Michael Stefanic,26.129,Jul 3,,4/H,LAA,0.0,5-10,180,R,R,Feb 24 1996,Boise ID US,Signed as a Free Agent with the Los Angeles Angels in 2018.,Westmont College (Santa Barbara CA),,Michael,stefami01,
253,Cal Stevenson,25.332,Aug 10,,8/H97,OAK,-0.3,5-10,175,L,L,Sep 12 1996,Fremont CA US,Drafted by the Toronto Blue Jays in the 10th round of the 2018 amateur draft. Player signed June 9 2018.,Chabot College (Hayward CA) University of Arizona (Tucson AZ) University of Nevada Reno (Reno NV),John F. Kennedy HS (Fremont CA),Cal,steveca01,
254,Bryson Stott,24.184,Apr 8,,64/H5,PHI,1.3,6-3,200,L,R,Oct 6 1997,Las Vegas NV US,Drafted by the Philadelphia Phillies in the 1st round (14th pick) of the 2019 amateur draft. Player signed June 27 2019.,University of Nevada Las Vegas (Paradise NV),,Bryson Jeremy,stottbr01,
255,Kyle Stowers,24.162,Jun 13,,79/HD,BAL,-0.1,6-3,200,L,L,Jan 2 1998,El Cajon CA US,Drafted by the Baltimore Orioles in the 2nd round of the 2019 amateur draft. Player signed June 21 2019.,Stanford University (Palo Alto CA),Christian HS (El Cajon CA),Kyle Jacob,stoweky01,
256,Peter Strzelecki,27.221,Jun 2,,1,MIL,0.5,6-2,195,R,R,Oct 24 1994,Queens NY US,Signed as a Free Agent with the Milwaukee Brewers in 2018.,Palm Beach State College (Lake Worth FL) University of South Florida (Tampa FL),,Peter Joseph,strzepe01,
257,Robert Suarez,31.037,Apr 7,,1,SDP,1.4,6-2,210,R,R,Mar 1 1991,Bolivar Bolivar VE,Signed as a Free Agent with the San Diego Padres in 2021.,,,Robert Alexander,suarero01,
258,Beau Sulser,27.356,Apr 26,,/1,PIT,0.0,6-2,195,R,R,May 5 1994,Escondido CA US,Drafted by the Pittsburgh Pirates in the 10th round of the 2017 amateur draft. Player signed June 19 2017.,Dartmouth College (Hanover NH),,Beau Grayson,sulsebe01,
259,Jack Suwinski,23.271,Apr 26,,798/HD,PIT,1.1,6-2,215,L,L,Jul 29 1998,Chicago IL US,Drafted by the San Diego Padres in the 15th round of the 2016 amateur draft. Player signed July 7 2016.,,Taft HS (Chicago IL),Jack William,suwinja01,
260,Seiya Suzuki,27.232,Apr 7,,9/HD,CHC,2.0,5-11,182,R,R,Aug 18 1994,Arakawa Tokyo JP,Signed as a Free Agent with the Chicago Cubs in 2022.,,,Seiya,suzukse01,
261,Travis Swaggerty,24.292,Jun 7,,/7H8D,PIT,-0.2,5-10,200,L,L,Aug 19 1997,Covington LA US,Drafted by the Pittsburgh Pirates in the 1st round (10th pick) of the 2018 amateur draft. Player signed June 15 2018.,University of South Alabama (Mobile AL),,Travis Wade,swaggtr01,
262,Matt Swarmer,28.247,May 30,,1,CHC,-0.5,6-5,195,R,R,Sep 25 1993,Reading PA US,Drafted by the Chicago Cubs in the 19th round of the 2016 amateur draft. Player signed June 22 2016.,Kutztown University of Pennsylvania (Kutztown PA),Governor Mifflin HS (Shillington PA),Matthew Lee,swarmma01,
263,Freddy Tarnok,23.266,Aug 17,,/1,ATL,0.0,6-3,185,R,R,Nov 24 1998,Brandon FL US,Drafted by the Atlanta Braves in the 3rd round of the 2017 amateur draft. Player signed June 18 2017.,,Riverview HS (Riverview FL),Frederic Michael,tarnofr01,
264,Jackson Tetreault,26.011,Jun 14,,/1,WSN,-0.2,6-5,189,R,R,Jun 3 1996,Ruskin FL US,Drafted by the Washington Nationals in the 7th round of the 2017 amateur draft. Player signed June 20 2017.,Cameron University (Lawton OK) State College of Florida Manatee-Sarasota (Bradenton FL),,Jackson Joseph,tetreja01,
265,Alek Thomas,22.010,May 8,,*8/H,ARI,1.4,5-11,175,L,L,Apr 28 2000,Chicago IL US,Drafted by the Arizona Diamondbacks in the 2nd round of the 2018 amateur draft. Player signed June 12 2018.,,Mount Carmel HS (Chicago IL),Alek,thomaal01,
266,Cody Thomas,27.328,Sep 1,,7,OAK,-0.2,6-4,211,L,R,Oct 8 1994,Colleyville TX US,Drafted by the Los Angeles Dodgers in the 13th round of the 2016 amateur draft. Player signed June 21 2016.,University of Oklahoma (Norman OK),Colleyville Heritage HS (Colleyville TX),Cody Ryan,thomaco01,
267,Bubba Thompson,24.056,Aug 4,,79/8HD,TEX,0.1,6-2,197,R,R,Jun 9 1998,Mobile AL US,Drafted by the Texas Rangers in the 1st round (26th pick) of the 2017 amateur draft. Player signed June 16 2017.,,McGill-Toolen Catholic HS (Mobile AL),Leslie Arnold,thompbu01,
268,Zack Thompson,24.218,Jun 3,,1,STL,0.7,6-2,215,L,L,Oct 28 1997,Selma IN US,Drafted by the St. Louis Cardinals in the 1st round (19th pick) of the 2019 amateur draft. Player signed June 11 2019.,University of Kentucky (Lexington KY),Wapahani HS (Selma IN),Zachary David,thompza02,
269,Michael Toglia,24.014,Aug 30,,93/H,COL,-0.1,6-5,226,B,L,Aug 16 1998,Phoenix AZ US,Drafted by the Colorado Rockies in the 1st round (23rd pick) of the 2019 amateur draft. Player signed June 18 2019.,University of California Los Angeles (Los Angeles CA),Gig Harbor HS (Gig Harbor WA),Michael Anthony,toglimi01,
270,Spencer Torkelson,22.225,Apr 8,,*3/H,DET,-1.3,6-1,220,R,R,Aug 26 1999,Petaluma CA US,Drafted by the Detroit Tigers in the 1st round (1st pick) of the 2020 amateur draft. Player signed June 30 2020.,Arizona State University (Tempe AZ),,Spencer Enochs,torkesp01,
271,Ezequiel Tovar,21.053,Sep 23,,/6,COL,-0.4,6-0,162,R,R,Aug 1 2001,Maracay Aragua VE,Signed as a Free Agent with the Colorado Rockies in 2017.,,,Ezequiel Jesus,tovarez01,
272,Tanner Tully,27.143,Apr 22,,/1,CLE,-0.1,6-2,205,L,L,Nov 30 1994,Elkhart IN US,Drafted by the Cleveland Indians in the 26th round of the 2016 amateur draft. Player signed June 15 2016.,The Ohio State University (Columbus OH),,Tanner Paul,tullyta01,
273,Erich Uelmen,26.064,Jul 22,,1,CHC,-0.1,6-3,210,R,R,May 19 1996,Las Vegas NV US,Drafted by the Chicago Cubs in the 4th round of the 2017 amateur draft. Player signed June 21 2017.,California Polytechnic State University San Luis Obispo (San Luis Obispo CA),Faith Lutheran HS (Las Vegas NV),Erich William,uelmeer01,
274,Miguel Vargas,22.259,Aug 3,,/37D5H,LAD,-0.5,6-3,205,R,R,Nov 17 1999,La Habana La Habana CU,Signed as a Free Agent with the Los Angeles Dodgers in 2017.,,,Miguel Antonio,vargami01,
275,Louie Varland,24.272,Sep 7,,/1,MIN,0.4,6-1,205,L,R,Dec 9 1997,St. Paul MN US,Drafted by the Minnesota Twins in the 15th round of the 2019 amateur draft. Player signed June 12 2019.,Concordia University (St. Paul MN),,Louis Dennis,varlalo01,
276,Terrin Vavra,25.078,Jul 29,,47/HD9,BAL,0.1,6-1,200,L,R,May 12 1997,Menomonie WI US,Drafted by the Colorado Rockies in the 3rd round of the 2018 amateur draft. Player signed June 19 2018.,University of Minnesota (Minneapolis MN),,Terrin Thomas,vavrate01,
277,Nelson Velázquez,23.155,May 30,,89H7/D,CHC,-0.6,6-0,200,R,R,Dec 26 1998,Carolina PR,Drafted by the Chicago Cubs in the 5th round of the 2017 amateur draft. Player signed July 7 2017.,,PJ Education School (Carolina Puerto Rico),Nelson Javier,velazne01,
278,Nick Vespi,26.222,May 20,,1,BAL,0.3,6-3,215,L,L,Oct 10 1995,Miami FL US,Drafted by the Baltimore Orioles in the 18th round of the 2015 amateur draft. Player signed June 17 2015.,Palm Beach State College (Lake Worth FL),,Nicholas Anthony,vespini01,
279,Cam Vieaux,28.194,Jun 17,,/1,PIT,-0.6,6-3,200,L,L,Dec 5 1993,Novi MI US,Drafted by the Pittsburgh Pirates in the 6th round of the 2016 amateur draft. Player signed June 14 2016.,Michigan State University (East Lansing MI),Walled Lake Western HS (Walled Lake MI),Cameron Scott,vieauca01,
280,Mark Vientos,22.274,Sep 11,,D/H5,NYM,-0.2,6-4,220,R,R,Dec 11 1999,Norwalk CT US,Drafted by the New York Mets in the 2nd round of the 2017 amateur draft. Player signed June 22 2017.,,American Heritage HS (Plantation FL),Mark Anthony,vientma01,
281,David Villar,25.158,Jul 4,,53D/4H,SFG,1.3,6-1,215,R,R,Jan 27 1997,Atlanta GA US,Drafted by the San Francisco Giants in the 11th round of the 2018 amateur draft. Player signed June 12 2018.,University of South Florida (Tampa FL),,David Alexander,villada01,
282,Cole Waites,24.095,Sep 13,,/1,SFG,0.1,6-3,180,R,R,Jun 10 1998,Lawrenceville GA US,Drafted by the San Francisco Giants in the 18th round of the 2019 amateur draft. Player signed June 13 2019.,University of West Alabama (Livingston AL),,Cole Robert,waiteco01,
283,Ken Waldichuk,24.236,Sep 1,,/1,OAK,0.2,6-4,220,L,L,Jan 8 1998,San Diego CA US,Drafted by the New York Yankees in the 5th round of the 2019 amateur draft. Player signed June 7 2019.,Saint Mary's College of California (Moraga CA),,Kenneth Dieter,waldike01,
284,Steele Walker,25.310,Jun 5,,/7H9,TEX,-0.2,5-11,209,L,L,Jul 30 1996,Prosper TX US,Drafted by the Chicago White Sox in the 2nd round of the 2018 amateur draft. Player signed June 28 2018.,University of Oklahoma (Norman OK),Prosper HS (Prosper TX),Steele Simons,walkest01,
285,Matt Wallner,24.279,Sep 17,,9/DH,MIN,-0.3,6-5,220,L,R,Dec 12 1997,Forest Lake MN US,Drafted by the Minnesota Twins in the 1st round (39th pick) of the 2019 amateur draft. Player signed June 17 2019.,University of Southern Mississippi (Hattiesburg MS),Forest Lake HS (Forest Lake MN),Matthew John,wallnma01,
286,Jake Walsh,26.295,May 11,,/1,STL,-0.2,6-1,192,R,R,Jul 20 1995,Indialantic FL US,Drafted by the St. Louis Cardinals in the 16th round of the 2017 amateur draft. Player signed June 17 2017.,Florida Southern College (Lakeland FL) Jacksonville State University (Jacksonville AL),,Jacob Dalton,walshja02,
287,Nash Walters,25.140,Oct 5,,/1,LAA,0.0,6-5,210,R,R,May 18 1997,Tyler TX US,Drafted by the Milwaukee Brewers in the 3rd round of the 2015 amateur draft. Player signed June 15 2015.,,Lindale HS (Lindale TX),Nash Owen,waltena01,
288,Drew Waters,23.235,Aug 22,,98/7HD,KCR,0.3,6-2,185,B,R,Dec 30 1998,Atlanta GA US,Drafted by the Atlanta Braves in the 2nd round of the 2017 amateur draft. Player signed June 16 2017.,,Etowah HS (Woodstock GA),Andrew David,waterdr01,
289,Greg Weissert,27.202,Aug 25,,1,NYY,-0.3,6-2,215,R,R,Feb 4 1995,Bay Shore NY US,Drafted by the New York Yankees in the 18th round of the 2016 amateur draft. Player signed June 15 2016.,Fordham University (New York NY),Bay Shore HS (Bay Shore NY),Gregory R.,weissgr01,
290,Joey Wentz,24.217,May 11,,/1,DET,0.5,6-5,220,L,L,Oct 6 1997,Lawrence KS US,Drafted by the Atlanta Braves in the 1st round (40th pick) of the 2016 amateur draft. Player signed June 15 2016.,,Shawnee Mission East HS (Prairie Village KS),Joseph Barrett,wentzjo01,
291,Hayden Wesneski,24.275,Sep 6,,/1,CHC,0.9,6-3,210,R,R,Dec 5 1997,Houston TX US,Drafted by the New York Yankees in the 6th round of the 2019 amateur draft. Player signed June 8 2019.,Sam Houston State University (Huntsville TX),Cy-Fair HS (Cypress TX),Hayden Gregory,wesneha01,
292,Collin Wiles,28.107,Sep 14,,/1,OAK,0.0,6-4,222,R,R,May 30 1994,Overland Park KS US,Drafted by the Texas Rangers in the 1st round (53rd pick) of the 2012 amateur draft. Player signed June 11 2012.,,Blue Valley West HS (Stilwell KS),Collin James,wilesco01,
293,Marcus Wilson,25.318,Jun 29,,/H98D,SEA,0.0,6-2,198,R,R,Aug 15 1996,Los Angeles CA US,Drafted by the Arizona Diamondbacks in the 2nd round of the 2014 amateur draft. Player signed June 9 2014.,,Junipero Serra HS (Gardena CA),Marcus,wilsoma02,
294,Steven Wilson,27.228,Apr 9,,1,SDP,0.8,6-3,221,R,R,Aug 24 1994,Littleton CO US,Drafted by the San Diego Padres in the 8th round of the 2018 amateur draft. Player signed June 5 2018.,Santa Clara University (Santa Clara CA),Dakota Ridge HS (Littleton CO),Steven Christopher,wilsost02,
295,Josh Winckowski,23.334,May 28,,1,BOS,-0.3,6-4,202,R,R,Jun 28 1998,Toledo OH US,Drafted by the Toronto Blue Jays in the 15th round of the 2016 amateur draft. Player signed July 11 2016.,,Estero HS (Estero FL),Joshua Michael,winckjo01,
296,Josh Winder,25.183,Apr 12,,1,MIN,-0.1,6-5,210,R,R,Oct 11 1996,Richmond VA US,Drafted by the Minnesota Twins in the 7th round of the 2018 amateur draft. Player signed June 15 2018.,Virginia Military Institute (Lexington VA),,Joshua Stewart,windejo01,
297,Bobby Witt,21.297,Apr 7,,65/DH,KCR,0.8,6-1,200,R,R,Jun 14 2000,Colleyville TX US,Drafted by the Kansas City Royals in the 1st round (2nd pick) of the 2019 amateur draft. Player signed June 12 2019.,,Colleyville Heritage HS (Colleyville TX),Robert Andrew,wittbo02,
298,Simeon Woods Richardson,22.005,Oct 2,,/1,MIN,-0.1,6-3,210,R,R,Sep 27 2000,Sugar Land TX US,Drafted by the New York Mets in the 2nd round of the 2018 amateur draft. Player signed June 15 2018.,,Kempner HS (Sugar Land TX),Simeon,woodssi01,
299,William Woods,23.119,Apr 27,,/1,ATL,0.1,6-3,190,R,R,Dec 29 1998,Trenton TN US,Drafted by the Atlanta Braves in the 23rd round of the 2018 amateur draft. Player signed June 9 2018.,Dyersburg State Community College (Dyersburg TN),,William,woodswi02,
300,Juan Yepez,24.074,May 4,,7D93/5H,STL,0.4,6-1,200,R,R,Feb 19 1998,Caracas Distrito Federal VE,Signed as a Free Agent with the Atlanta Braves in 2014.,,,Juan David,yepezju01,
